# M = 3.000, Z =  0.030, Y =  0.300, Set 1																																						
# Surface normalized number abundances																																						
Isotope	A	Z	N	Initial	TP #1	TP #2	TP #3	TP #4	TP #5	TP #6	TP #7	TP #8	TP #9	TP #10	TP #11	TP #12	TP #13	TP #14	TP #15	TP #16	TP #17	TP #18	TP #19	TP #20	TP #21	TP #22	TP #23	TP #24	TP #25	TP #26	TP #27	TP #28	TP #29	TP #30	TP #31	TP #32	TP #33	Final
p	1	1	0	6.70E-01	6.55E-01	6.55E-01	6.55E-01	6.55E-01	6.55E-01	6.55E-01	6.55E-01	6.55E-01	6.55E-01	6.56E-01	6.56E-01	6.56E-01	6.56E-01	6.56E-01	6.56E-01	6.56E-01	6.56E-01	6.57E-01	6.56E-01	6.56E-01	6.56E-01	6.55E-01	6.54E-01	6.53E-01	6.52E-01	6.51E-01	6.49E-01	6.47E-01	6.45E-01	6.43E-01	6.41E-01	6.39E-01	6.37E-01	6.33E-01
d	2	1	1	0.00E+00	2.66E-18	2.66E-18	2.66E-18	2.66E-18	2.66E-18	2.63E-18	2.63E-18	2.61E-18	2.58E-18	2.55E-18	2.53E-18	2.50E-18	2.48E-18	2.46E-18	2.44E-18	2.42E-18	2.41E-18	2.39E-18	2.40E-18	2.46E-18	2.50E-18	2.58E-18	2.64E-18	2.70E-18	2.74E-18	2.78E-18	2.81E-18	2.83E-18	2.83E-18	2.84E-18	2.84E-18	2.84E-18	2.83E-18	2.84E-18
he3	3	2	1	0.00E+00	3.62E-05	3.62E-05	3.62E-05	3.62E-05	3.62E-05	3.59E-05	3.58E-05	3.55E-05	3.51E-05	3.47E-05	3.44E-05	3.40E-05	3.37E-05	3.34E-05	3.31E-05	3.28E-05	3.26E-05	3.24E-05	3.24E-05	3.22E-05	3.20E-05	3.20E-05	3.18E-05	3.16E-05	3.15E-05	3.13E-05	3.13E-05	3.11E-05	3.10E-05	3.09E-05	3.08E-05	3.07E-05	3.06E-05	3.05E-05
he4	4	2	2	7.50E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.85E-02	7.84E-02	7.84E-02	7.83E-02	7.83E-02	7.83E-02	7.83E-02	7.82E-02	7.82E-02	7.82E-02	7.82E-02	7.82E-02	7.82E-02	7.83E-02	7.84E-02	7.85E-02	7.86E-02	7.88E-02	7.91E-02	7.93E-02	7.96E-02	8.00E-02	8.03E-02	8.06E-02	8.10E-02	8.14E-02	8.19E-02
li7	7	3	4	2.78E-09	5.51E-10	5.50E-10	5.50E-10	5.49E-10	5.50E-10	5.69E-10	5.70E-10	5.93E-10	6.16E-10	6.38E-10	6.59E-10	6.79E-10	6.98E-10	7.16E-10	7.33E-10	7.49E-10	7.61E-10	7.73E-10	7.73E-10	7.84E-10	7.93E-10	7.92E-10	7.97E-10	8.02E-10	8.03E-10	8.04E-10	7.98E-10	7.93E-10	7.76E-10	7.57E-10	7.49E-10	7.40E-10	7.31E-10	7.27E-10
be7	7	4	3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.44E-36	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.37E-31
b8	8	5	3	0.00E+00	1.63E-32	1.64E-32	1.77E-32	2.33E-32	3.62E-32	7.51E-32	1.56E-31	3.49E-31	5.57E-31	8.62E-31	1.06E-30	1.32E-30	1.49E-30	1.66E-30	1.80E-30	1.93E-30	2.09E-30	2.24E-30	2.35E-30	2.26E-30	2.06E-30	1.80E-30	1.52E-30	1.23E-30	1.14E-30	9.93E-31	9.05E-31	9.40E-31	8.79E-31	7.80E-31	7.87E-31	8.16E-31	9.57E-31	1.64E-30
c12	12	6	6	4.47E-04	2.69E-04	2.69E-04	2.69E-04	2.69E-04	2.70E-04	2.71E-04	2.71E-04	2.73E-04	2.75E-04	2.77E-04	2.79E-04	2.80E-04	2.82E-04	2.83E-04	2.85E-04	2.86E-04	2.87E-04	2.88E-04	2.91E-04	2.99E-04	3.12E-04	3.30E-04	3.52E-04	3.79E-04	4.10E-04	4.43E-04	4.83E-04	5.22E-04	5.64E-04	6.07E-04	6.49E-04	6.91E-04	7.43E-04	8.12E-04
c13	13	6	7	5.00E-06	1.36E-05	1.36E-05	1.36E-05	1.36E-05	1.36E-05	1.35E-05	1.35E-05	1.34E-05	1.33E-05	1.32E-05	1.31E-05	1.31E-05	1.30E-05	1.29E-05	1.28E-05	1.28E-05	1.27E-05	1.27E-05	1.27E-05	1.26E-05	1.26E-05	1.26E-05	1.25E-05	1.25E-05	1.24E-05	1.24E-05	1.24E-05	1.23E-05	1.23E-05	1.22E-05	1.22E-05	1.22E-05	1.21E-05	1.21E-05
c14	14	6	8	0.00E+00	0.00E+00	4.66E-32	8.18E-32	1.52E-32	1.67E-31	2.13E-32	3.10E-32	1.99E-32	3.06E-32	7.30E-32	9.20E-32	1.12E-31	1.53E-31	2.99E-29	3.08E-31	6.16E-31	2.63E-30	5.01E-20	1.26E-11	3.02E-11	3.95E-11	4.38E-11	4.59E-11	3.53E-11	2.81E-11	2.20E-11	1.86E-11	1.83E-11	1.83E-11	2.09E-11	2.85E-11	3.57E-11	4.98E-11	1.38E-10
n13	13	7	6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
n14	14	7	7	1.13E-04	3.14E-04	3.14E-04	3.14E-04	3.14E-04	3.14E-04	3.12E-04	3.12E-04	3.10E-04	3.08E-04	3.05E-04	3.03E-04	3.02E-04	3.00E-04	2.98E-04	2.97E-04	2.95E-04	2.94E-04	2.93E-04	2.93E-04	2.92E-04	2.91E-04	2.91E-04	2.90E-04	2.89E-04	2.88E-04	2.88E-04	2.87E-04	2.86E-04	2.85E-04	2.84E-04	2.84E-04	2.83E-04	2.82E-04	2.81E-04
n15	15	7	8	2.61E-07	1.23E-07	1.23E-07	1.23E-07	1.23E-07	1.23E-07	1.24E-07	1.24E-07	1.26E-07	1.27E-07	1.29E-07	1.30E-07	1.31E-07	1.33E-07	1.34E-07	1.35E-07	1.36E-07	1.36E-07	1.37E-07	1.37E-07	1.38E-07	1.39E-07	1.39E-07	1.39E-07	1.39E-07	1.40E-07	1.40E-07	1.39E-07	1.39E-07	1.39E-07	1.38E-07	1.38E-07	1.37E-07	1.37E-07	1.36E-07
o14	14	8	6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
o15	15	8	7	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
o16	16	8	8	8.10E-04	7.77E-04	7.77E-04	7.77E-04	7.77E-04	7.77E-04	7.78E-04	7.78E-04	7.78E-04	7.78E-04	7.79E-04	7.79E-04	7.79E-04	7.80E-04	7.80E-04	7.80E-04	7.80E-04	7.81E-04	7.81E-04	7.81E-04	7.81E-04	7.81E-04	7.82E-04	7.82E-04	7.82E-04	7.82E-04	7.82E-04	7.81E-04	7.80E-04	7.79E-04	7.78E-04	7.77E-04	7.75E-04	7.74E-04	7.71E-04
