# M = 4.000, Z =  0.007, Y =  0.260, Set 1																													
# Surface normalized number abundances																													
Isotope	A	Z	N	Initial	TP #1	TP #2	TP #3	TP #4	TP #5	TP #6	TP #7	TP #8	TP #9	TP #10	TP #11	TP #12	TP #13	TP #14	TP #15	TP #16	TP #17	TP #18	TP #19	TP #20	TP #21	TP #22	TP #23	TP #24	Final
p	1	1	0	7.33E-01	7.24E-01	7.24E-01	7.24E-01	7.24E-01	7.24E-01	7.23E-01	7.23E-01	7.22E-01	7.21E-01	7.21E-01	7.20E-01	7.19E-01	7.18E-01	7.17E-01	7.16E-01	7.15E-01	7.14E-01	7.13E-01	7.12E-01	7.10E-01	7.09E-01	7.08E-01	7.06E-01	7.04E-01	7.00E-01
d	2	1	1	0.00E+00	3.56E-18	3.49E-18	3.13E-18	3.04E-18	2.91E-18	2.89E-18	2.90E-18	2.90E-18	2.89E-18	2.88E-18	2.78E-18	2.78E-18	2.80E-18	2.79E-18	2.79E-18	2.78E-18	2.72E-18	2.74E-18	2.74E-18	2.74E-18	2.67E-18	2.70E-18	2.97E-18	3.45E-18	3.25E-18
he3	3	2	1	0.00E+00	2.36E-05	2.35E-05	2.34E-05	2.34E-05	2.33E-05	2.33E-05	2.33E-05	2.33E-05	2.32E-05	2.32E-05	2.31E-05	2.29E-05	2.28E-05	2.26E-05	2.25E-05	2.21E-05	2.18E-05	2.13E-05	2.08E-05	2.04E-05	2.01E-05	2.00E-05	1.97E-05	1.95E-05	1.92E-05
he4	4	2	2	6.50E-02	6.71E-02	6.71E-02	6.71E-02	6.72E-02	6.72E-02	6.73E-02	6.74E-02	6.75E-02	6.76E-02	6.77E-02	6.79E-02	6.80E-02	6.82E-02	6.83E-02	6.85E-02	6.87E-02	6.88E-02	6.90E-02	6.92E-02	6.94E-02	6.96E-02	6.99E-02	7.02E-02	7.06E-02	7.11E-02
li7	7	3	4	6.50E-10	9.48E-11	9.77E-11	7.51E-11	4.82E-12	1.39E-14	1.24E-14	2.20E-14	2.20E-13	3.23E-12	2.31E-12	2.53E-11	1.69E-10	1.21E-10	9.78E-11	8.00E-11	4.42E-10	1.89E-10	5.81E-10	5.02E-10	4.21E-10	4.29E-11	6.16E-13	6.93E-16	4.73E-09	1.05E-08
be7	7	4	3	0.00E+00	0.00E+00	6.33E-24	2.23E-22	1.57E-19	2.70E-20	1.12E-18	2.46E-17	3.12E-16	4.30E-15	2.99E-15	3.04E-14	1.82E-13	9.82E-14	6.85E-14	4.89E-14	2.34E-13	1.14E-13	2.95E-13	2.29E-13	1.59E-13	8.35E-15	4.07E-17	2.78E-25	0.00E+00	0.00E+00
b8	8	5	3	0.00E+00	3.32E-31	8.27E-37	1.56E-34	4.15E-34	6.12E-31	1.16E-31	4.73E-31	1.57E-30	1.31E-29	5.98E-30	1.10E-26	4.55E-26	8.87E-27	3.70E-27	1.62E-27	4.78E-27	5.50E-26	3.42E-26	1.55E-26	5.61E-27	2.33E-26	1.95E-30	4.87E-33	1.31E-28	1.34E-25
c12	12	6	6	1.04E-04	5.93E-05	5.96E-05	5.96E-05	6.30E-05	7.03E-05	8.11E-05	9.41E-05	1.09E-04	1.25E-04	1.43E-04	1.63E-04	1.85E-04	2.06E-04	2.30E-04	2.54E-04	2.77E-04	3.02E-04	3.25E-04	3.48E-04	3.75E-04	4.01E-04	4.33E-04	4.71E-04	5.28E-04	6.04E-04
c13	13	6	7	1.17E-06	3.14E-06	3.13E-06	3.13E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.12E-06	3.13E-06	3.15E-06	3.21E-06	3.53E-06	3.87E-06	4.24E-06	4.68E-06	6.11E-06	7.09E-06	9.34E-06	1.16E-05	1.39E-05	1.55E-05	1.66E-05	1.88E-05	2.07E-05	2.45E-05
c14	14	6	8	0.00E+00	1.49E-31	4.56E-30	1.52E-15	2.75E-09	7.51E-09	1.07E-08	1.06E-08	9.37E-09	7.90E-09	6.38E-09	5.12E-09	4.30E-09	3.92E-09	3.20E-09	2.97E-09	2.57E-09	2.32E-09	2.05E-09	1.78E-09	1.64E-09	1.50E-09	1.44E-09	1.34E-09	1.50E-09	2.21E-09
n13	13	7	6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
n14	14	7	7	2.65E-05	7.61E-05	7.58E-05	7.58E-05	7.57E-05	7.57E-05	7.57E-05	7.57E-05	7.56E-05	7.56E-05	7.55E-05	7.55E-05	7.54E-05	7.54E-05	7.53E-05	7.53E-05	7.54E-05	7.54E-05	7.56E-05	7.58E-05	7.61E-05	7.63E-05	7.64E-05	7.70E-05	7.72E-05	7.79E-05
n15	15	7	8	6.08E-08	2.65E-08	2.67E-08	2.67E-08	2.68E-08	2.68E-08	2.67E-08	2.65E-08	2.62E-08	2.54E-08	2.46E-08	2.20E-08	1.12E-08	7.26E-09	5.33E-09	4.27E-09	2.60E-09	2.47E-09	2.39E-09	2.33E-09	2.27E-09	2.25E-09	2.36E-09	2.45E-09	2.55E-09	2.68E-09
o14	14	8	6	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
o15	15	8	7	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
o16	16	8	8	1.89E-04	1.82E-04	1.82E-04	1.82E-04	1.82E-04	1.82E-04	1.82E-04	1.83E-04	1.83E-04	1.83E-04	1.84E-04	1.84E-04	1.85E-04	1.85E-04	1.85E-04	1.86E-04	1.86E-04	1.87E-04	1.87E-04	1.87E-04	1.88E-04	1.88E-04	1.89E-04	1.89E-04	1.90E-04	1.91E-04
o17	17	8	9	7.18E-08	7.05E-07	7.02E-07	7.01E-07	6.99E-07	6.99E-07	6.98E-07	6.97E-07	6.96E-07	6.95E-07	6.95E-07	6.94E-07	6.92E-07	6.90E-07	6.89E-07	6.87E-07	6.84E-07	6.81E-07	6.77E-07	6.73E-07	6.69E-07	6.66E-07	6.63E-07	6.59E-07	6.55E-07	6.48E-07
o18	18	8	10	3.78E-07	2.47E-07	2.47E-07	2.47E-07	2.48E-07	2.48E-07	2.48E-07	2.47E-07	2.47E-07	2.47E-07	2.47E-07	2.46E-07	2.44E-07	2.41E-07	2.37E-07	2.33E-07	2.25E-07	2.19E-07	2.09E-07	1.99E-07	1.88E-07	1.80E-07	1.71E-07	1.55E-07	1.43E-07	1.24E-07
o19	19	8	11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
f17	17	9	8	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
f18	18	9	9	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
